name,effect,cost,
Delusions of Grandeur (DC),The character tends to overstate and overestimate her own ability and take on monumental tasks with delusional confidence.,1 per 5,
Destitute,"The character has made some bad choices regarding their money. While not knee-deep in debt, the character does not have fund and currently lives from paycheck to paycheck. The character starts with only half the cash. Cannot be combined with Big Spender.",5,
Dietary Rules,"The character will only eat certain things due to personal reasons. Whenever the character is forced to eat something that does not align with his values, e.g. as to not starve to death, this infers penalties equal to the bane's value.",5,
Directionally Challenged,The character has extreme difficulty distinguishing left from right. This makes navigation quite difficult: navigation and navigation-related tests - like tests made in a chase - are at a -10 and can never benefit from map data (like Roadware).,5,
Dwarfish,"The character is tiny. He is harder to hit, has less melee range and is slower. He is also rarely taken seriously.",8,
Envy (DC),"When another has something that the character does not, she will overstep boundaries to get some of her own.",1 per 10,
Evil Monologue,The character tends to talk to herself. This may lead to embarrassing social encounters or even to spilling information about secret plans.,5,
Fear of Heights (DC),The character is followed by an everlasting fear of falling.,3 per 10,
Flimsy,Medical Toughness reduced by 1. Can be taken multiple times.,2 each,
Food Restrictions,"Due to mutation or specific engineering, the character can only consume certain types of food. Anything else leaves the body undigested; often times violently.",5,
Forgetful,The character tends to forget even the most important details. Any Education is twice as expensive.,12,
Gambler (DC),"The character will not pass up on a good bet. When he can play a more or less fair game for something, he has a hard time passing up the chance.",1 per 5,
Greed (DC),Money makes the world go round. Opportunities to make your world go just that bit rounder are very hard to pass by.,1 per 5,
Hallucinations,"Hallucinating characters live in a notably vastly different reality, e.g. thinking that milk is a deadly poison, that he is haunted by demons only vulnerable to supersonic cheese and so on. Every person will notice and this will infer penalties as per GM discretion.",10,
Hesitant,The character suffers a -3 to initiative.,5,
Hungry I/II/III,The character needs 1.5/2/3 times as much food.,5 per level,
Impaired Sense,"One of the character's senses functions improperly, incurring -20 on checks based on that sense. This may be offset with augments but never restored to normal levels. Not compatible with Outstanding Sense for the same sense.",5,
Impatient (DC),The character does not like waiting. Tasks that take a long time of not doing much will be severely harder.,1 per 5,
Impulsive,"The character tends to act on stupid decisions in the heat of the moment. When such an idea comes up, it takes a -20 intelligence check to resist acting on it.",5,
Insomnia,Getting a good night's rest is hard for the character. In roughly a quarter of all nights (whether randomly or following a pattern) the character takes a -30 penalty to regenerating naturally.,7,
Laziness (DC),The character is a slob and doesn't put more effort into things than absolutely necessary.,1 per 5,
Light Sensitivity,The character hates the light. Every action taken in light is at a -30 penalty. Sufficient protection from the light is generally enough work and requires enough equipment that the sheer bulk grants similar penalties.,10,
Ignorant (DC),The character has a hard time understanding a certain topic. This topic should be specified when the Bane is chosen. All tests checking knowledge of that topic suffer a penalty equal to this disabling characteristic.,1 per 10,
Naive (DC),The character easily trusts strangers. Resisting deception and persuasion is at a penalty equal to the Bane.,1 per 5,
Necrophobia (DC),"The character has fear of death and dead creatures and will be unable to focus properly when on battlefields, murder or slaughter scenes or graveyards.",1 per 5,
Needy (DC),The character's strong physical desires become distracting to everyday life.,1 per 10,
Nervous,Rayleigh Index reduced by 1. Can be taken multiple times.,2 each,
Neurotically Hygienic (DC),The character has a need to keep clean.,1 per 5,
Night Blind,Doubles all penalties for low light.,5,
No Tactile Sense,"Anything requiring sense of touch takes a -40 penalty, this includes the usage of any weapon with a trigger or a blade.",15,
Nyctophobia (DC),The character has a strong fear of the dark.,2 per 5,
Obese,"The character is heavily overweight. This comes with multiple drawbacks like a -20 penalty to strength based checks that have to do with body weight (e.g. climbing), -3 to medical toughness, as well as stigmatization and other drawbacks by GM discretion.",15,
One-Armed,The character has lost an arm and due to nerve damage can't accept replacements.,15,
One-Eyed,The character has lost an eye and due to nerve damage can't accept replacements.,5,
One-Handed,The character has lost a hand and due to nerve damage can't accept replacements.,10,
One-Legged,The character has lost a leg and due to nerve damage can't accept replacements.,25,
Paralyzed Leg,Due to irreversible nervous damage the character can barely move one leg. This reduces speed by 2 and grants penalties around -15 to tests as per GM discretion.,15,
Personal Enemy,An important person or group has set its eyes on the character and will take measures to foil his plans.,7,
Physically Repulsive,"The character is staggeringly ugly. This infers a -20 penalty to social tests when the character can be seen. Not compatible with Smoking, Looker and Ugly.",12,
Playful (DC),"The character loves playing. That can include simple things like chess or video games, but also ""games"" of predator and prey.",1 per 5,
Portly,The character is stocky or otherwise slower than her peers. Her speed is reduced by 1.,5,
Prejudice (DC),The character is biased against a certain group of people and has a hard time interacting with them.,1 per 5,
Rebel (DC),The character has a hard time trusting authority and tends to revolt. Not compatible with Belief in Authority.,1 per 10,
Righteous (DC),Some laws are absolute and they must be followed. The character will work against any injustice to the order she believes in.,1 per 5,
Scrooge (DC),Spending money is painful.,1 per 10,
Second-class Citizen,The character is oppressed for one reason or another. This may e.g. be due to stigmatization of a part of his lifestyle or being born with extremely few resources. In any case this will have consequences in social situations and encounters with law enforcement. Cannot be taken by Vat-grown.,5,
Sensitive Smell (DC),"When around something that smells particularly nasty, he takes penalties to everything that requires concentration or a healthy stomach.",3 per 10,
Short,"The character is small. He is harder to hit, has less melee range and is slower. He is also rarely taken seriously.",5,
Shortcoming,"A characteristic, that hasn't been invested in, is reduced by 5.",7,
Sickly,Grants -15 penalty to resist disease.,2,\begin{exampleblock} Banes like \emph{Sickly} may have no chance to come up in game. In this case such Banes should be disallowed by the GM.\end{exampleblock}
Slave Mentality (DC),The character does not like making his own decisions - such situations put a lot of stress on the character. He is instead likely to adopt an idea ushered by someone else.,1 per 5,
Slow Healer,The character only heals naturally at a -20 penalty and tests taken to heal this character are at a -10.,10,
Speech Disorder,"The character has some sort of speaking disorder. What it may be, the character gains a -10 to tests requiring to speak and takes longer to finish sentences which might cause problems in stressful situations like combat or a heated chase.",7,
Split Consciousness,"Multiple consciousnesses fight over control of a single body. The character is represented by multiple character sheets, sharing physical characteristics, boons and banes, health conditions and their Athletics level. Mental characteristics boons and banes, conditions and all other skills are individual to every consciousness.",10 per additional consciousness,
Squeamish (DC),The character takes a penalty to tests to resist fear and panic.,2 per 5,
Superstition (DC),"The character is superstitious, often believing ideas that depend on far fetched assumptions.",1 per 5,
Technophobia (DC),"The character is suspicious of technological advancements, especially solutions to things that could easily be done by humans.",3 per 10,
Temperamental (DC),Small things may make the character unreasonably angry.,3 per 10,
Terrible Odor,The character has bad smell. This grants -10 to social tests when the character is in smelling distance and hiding from watchdogs is essentially impossible. Not compatible with Pleasant smell.,5,
Trigger Phrase,"Sleeper agents were rumored to have trigger phrases carved into their mind. For the longest time that was purely a myth but now many vat-grown are programmed with such a phrase to force certain behavior. When the phrase is heard by the character, all tests to resist persuasion and commands suffer at least a -40 penalty.",7,
Trouble Magnet (DC),"Some people actively look for trouble. This character has the tendency, willingly or not, to provoke and attract the wrath of others.",1 per 10,
Ugly,"The character is unshapely. This grants -10 to social tests while the character is being seen. Not compatible with Smoking, Looker and Physically repulsive.",5,
Uneducated,The character has not learned much and loses 50 XP. Can be taken multiple times but XP may never be negative.,1 per level,
Vanity (DC),"The character is posh to an extreme. He might refuse tube food, simple and cheap clothing or getting dirty.",1 per 5,
Vengeful (DC),"The character does not forget. When someone wronged him, he will make sure to pay them back tenfold.",1 per 5,
Wanted I-V,"The character is being looked for by an organization. This can be due to criminal record, corporate espionage or involvement in gang wars. The first step roughly describes being the target of a small mercenary or criminal group, a level 3 target would be a low-priority military target and a level 5 target is on LEGION's radar.",5 per level,
