name,cost,prerequisites,effect
Gruesome,450,Intimidate Experienced,"When destroying body locations or landing a killing blow, the character makes an Intimidate test with a bonus equal to twice the last attack's damage. All fear tests suffer an additional penalty equal to 10 + 5 per DoS."
Hand-To-Hand Basics,250,Combat Training (Striking or Grappling) Trained,"When fighting armed enemies, the character counts as armed as well."
Hax0r e1337,400,Wirewalk Experienced,Add two degrees of success to any Wirewalk tests to crack other devices or protect your own.
Heroic,400,Courage 40,Grants +15 to fear and pinning tests.
High Noon,500,"Combat Training (Pistol) Experienced, Quick Draw","When drawing a pistol, the character may take a single shot as a free action."
Iron Fist,450,"Hand-to-hand Basics, Maneuver: Stunning Blow",Every unarmed strike may now count as a having Stun(0) without inferring a penalty.
Lead Storm,350,Strength 45,Weapons with a fire rate of more than 1 which are not launchers always count as braced.
Light Sleeper,250,Overly Cautious,Overly Cautious now also works when sleeping or intoxicated.
Marksman,300,Perception Experienced,Halves penalties for long ranges.
Medical Insight,400,Bio-Maintenance Experienced,Doubles the degrees of success on Bio-Maintenance tests to help others recover.
Mighty Companion,500,per GM discretion,The character may adopt a powerful companion. The GM will explain the details.
Mobile Combat,250,"Dexterity 30, Agility 40",Halves penalties for fighting while moving. This includes a Charge maneuver's flat penalty if the character also has Maneuver: Charge.
Natural Geek,500,Intelligence 45,"The character can add their Education's full bonus, regardless of it surpassing the Skill's bonus."
On Your Feet!,100,"Command Trained, Heroic",The character may take an action to make a command check. On a success an ally gains a +5 per degree of success to any action following the character's orders.
One-Man Artillery,350,Strength 45,Launchers always count as being braced.
Overly Cautious,300,Instinct 30,"The character becomes jittery or nervous, but when attacked he can ignore Unaware conditions by passing a Routine Perception check, so long as he is not asleep, intoxicated or otherwise impaired."
Peer,100,Charisma 30,Gain +15 to interaction tests with a specified group of people. May be chosen once per group of people.
Perfectionist Craftsman,400,Experienced in a crafting skill,Doubles the degrees of success on crafting tests when the specific skill is used.\\ May (theoretically) be taken once per skill.
Personified Inspiration,500,"Charisma 40, Heroic","When the character does a daring or heroic deed, all allies present are immune to fear and pinning for the rest of the encounter or scene."
Precision Strike,300,Melee Base 30,Halves penalties for attacking small targets with melee attacks.
Protective Stance,250,"Instinct 40, Constitution 40","When taking a Defensive Stance, the character may turn active actions into reactions without penalties and he may parry for allies within his melee range."
Provoke,350,Courage 45," Spend an action to taunt an enemy and make a fitting skill test opposed by the target's \emph{Restraint}. If the character wins, the target must attack the character at the next opportunity."
Quick Draw,250,"Dexterity 30, Agility 30","Draw smaller equipment pieces, pistols and one-handed melee weapons as a free action."
Rapid Reload,300,"Dexterity 40, Reload Experienced","When reducing reload time to below 1 action, reload as a free action."
Reliable Reputation,200,"Charisma 40, no Broken",Halves penalties from bad disposition.
Render,400,Strength 55,"When dealing damage with the Tearing rule, roll an additional dice. Still only keep one."
Revenge,400,Broken,"When taking damage from a direct attack, you may forego one of your actions later in the combat round to immediately attack the offending enemy."
Ripper,350,Render,"When dealing damage with the Tearing rule and rolling doubles, you may choose those two dice (instead of keeping just one)."
Sidearm,250,Dual Wielding Melee \& Ranged,"When attacking in melee combat with a melee weapon in one hand and a pistol in the other, the character takes no penalties from shooting in melee combat."
Skinner,500,Perception Trained,"Before taking a melee attack, make a perception check at a penalty equal to twice the target location armor. On a success halve the armor for this attack."
Skull Taker,500,Clear Target or Precision Strike,Removes penalties from calling hit locations for ranged attacks (when combined with Clear Target) or melee attacks (when combined with Precision Strike).
Snapshot,350,Steady Aim,Aiming takes half as long.
Stabilization,300,Bio-Maintenance Trained,The character is able to staunch light bleeding on others in one round without equipment.
Steadfast,200,"Agility 30, Constitution 30",Tests to prevent falling over are at a +10.
Steady Aim,250,"Intelligence 40, Strength 30","When aiming, line of sight may be broken for a round without aiming being interrupted. By GM discretion this may count even longer if the target is moving particularly predictably."
Strong Back,350,Strength 55,The character's carry weight is increased by half.
Supreme Awareness,350,Instinct 55 or Light Sleeper,"Roll twice when determining initiative or gathering senses, picking the higher result."
Tactical Advance,350,Command Known,"While advancing carefully from one cover to the next over a distance of MS meters in one turn, the character counts as in cover for the whole way."
The Best Defense,300,Courage 40,Reduces offensive penalties of Defensive Stance by 20.
Thick Skull,400,Constitution 50,Grants immunity to the Trauma special rule and resisting the \emph{Stun} special rule gains +10.
Threatening Presence,450,"Intimidation +10, no Calming Presence",Impose a -15 penalty to enemies' tests against fear and intimidation.
Too Angry To Die,200,"Courage 40, Constitution 40","While frenzied, the character has to take at least 8 damage at once or lose his head in order to die. Bleeding out only starts when the character stops frenzying, but he will in this case be unconscious when frenzy ends."
Trained Sense,250,Perception Trained,Grants a +10 bonus to sensory checks using that sense. Can be taken once for every sense.
Unbreakable Bond,250,"being good friends; if one is Clumsy and the other is Cursed by Fortuna, the cost is only 100 XP","When around one particular close friend, that friend may make a +20 charisma check as a free action and every degree of success gives the character +10 to resist fear and pinning, as well as potentially the effects of disabling characteristics. If both of them have Unbreakable Bond, the bonus to the charisma check is +40 instead."
Unquestioned,500,Reliable Reputation,Penalties to Command tests resulting from disbelief in authority (e.g. represented by Rebel or some Bound by Principle) do not apply.
Unrestrained Reflexes,300,"Agility 35, Dodge Trained",The character may make an additional dodge action using the same reaction. This may happen once per turn.
Vault,300,"Agility 30, Strength 30",The character can use suitable objects in the environment to double jump height and leap length during movement without slowing down.
Volume of Fire,350,Ranged Combat Training (Heavy) Known,"When using a weapon with a rate of fire above 1 to take a standard shot, the character may spend more ammunition to gain a +5 to hit per shot fired after the first, up to the weapon's rate of fire."
Walk It Off,350,Constitution 40,"The character can continue acting while bleeding until completely bled out. If combined with Tough as nails, the character may enter a frenzy when bleeding as well."
Where It Hurts,400,"Hand-to-hand Basics, Strength 40",The character's unarmed attacks may gain the Tearing special rule.
