name,type,flavor_text,effect,slot,load,cost,mods
Quick Replacement Extremity,Cybernetic,"A cheap cybernetic arm that can quickly be replaced with a new, undamaged one without taking much time getting used to.","The body part won't bleed and can't receive biotech implants or benefit from them. Zone HP is reduced to 20%. As long as the interface is not destroyed, an extremity can be replaced in 15 seconds (5 rounds). \\ Note: most mods are applied to the mount point but some may be applied to the limb instead as per GM discretion",one extremity,1 RI,40 to install the interface; cR 20 per limb,"Cheap, Compartment, Wrongly fitted, Powerful, Tough, Inconspicuous, Perfect fit"
Rayleigh Fibers,Cybernetic,An enhancement over the natural nervous system to massively increase reaction speed,Grants +10 to all reaction tests. The character can dodge or parry non-primitive ranged weapons.,nervous system,5 RI,530,"Cheap, Wrongly fitted, Perfect fit"
Skin-Tight Holoprojector,Cybernetic,"Technically not just one but a set of holographic projectors, that obscure the user's movements and make it hard to track exactly what someone is doing.",Grants -20 to attacks and parries against the user. The user suffers -20 to any tests made to hide while active. It can be activated as an action. \\ It has no effect when wearing armor or thick clothing.,skin,4 RI,480,"Wrongly fitted, Perfect fit, Aesthetic"
Subdermal Data Storage,Cybernetic,"A large data storage implanted within the body. Nearly impossible to detect, great for smuggling data.",The user always has data storage at hand. The connector can be found with a -30 Investigation test - if it is technically possible.,brain,1 RI,150,"Cheap, Inconspicuous, Perfect fit, Wrongly fitted"
Thermal Vision,Cybernetic,An implant that allows interpretation of infrared light as visible light,Allows the user to see IR light like heat sources and IR lasers. This may grant +20 to finding hidden people.,one eye,2 RI,240,"Cheap, Inconspicuous, Perfect fit, Wrongly fitted"
Voice Modulator,Cybernetic,"Adjustments to the voice box allow a user to reform the vocal cords, allowing for potentially flawless imitation - at least in terms of sound.","Vocal Deceive, Intimidate or Performance tests gain +20.",lungs,2 RI,440,"Cheap, Inconspicuous, Perfect fit, Wrongly fitted"
Bone Casing,Cybernetic,"Half cybernetic, half bioengineered hardened casing for the human skeleton",Grants 6 armor to the location. Swimming tests suffer a -15 penalty and weight is increased by 10%.,one tagged bone,1 MT,220,Wrongly fitted; Perfect fit
Compound Eyes,Biotech,"Fly-like eyes that, while reducing some detail, give the user a much larger field of view.",Grants the user +30 to tests against being ambushed or surprised. The user's control area increases to 270°. Visual perception when looking for details suffers a -10.,both eyes,"1 RI, 2 MT",400,"Cheap, Wrongly fitted, Perfect fit"
Extradextrous Arm,Biotech,An arm featuring increased flexibility and improved tactile sense but somewhat lacking in raw strength.,"The user gains +10 Dex, -10 Str and +20 to tactile perception using this arm.",one arm,1 MT,180,"Cheap, Wrongly fitted, Perfect fit, Powerful, Tough, Inconspicuous, Integrated Weaponry"
Flexible Bone Mesh,Biotech,"An injection that adds some flex to the user's bones, granting better movement but an overall weaker frame.",Grants +20 to most acrobatics checks and all tests to squeeze through small spaces or out of grapples. The user suffers -10 to resist getting knocked down. The zone's HP are halved.,one tagged bone,1 MT,180,"Wrongly fitted, Perfect fit, Tough"
Gills,Biotech,Implanted additional gills to provide another source of oxygen.,Allows the character to breathe under water.,lungs,2 MT,260,"Wrongly fitted, Perfect fit, Inconspicuous"
Gyro Legs,Biotech,Flexible legs and dexterous feet with opposable thumbs are installed into the user's lower body.,"The character can now stand up in half the time (an action turns into a free action), won't fall over by himself and gains a +20 bonus to resist being knocked over. However he can no longer wear normal shoes.",both legs,2 MT,390,"Cheap, Wrongly fitted, Perfect fit, Powerful, Tough"
High-performance senses,Biotech,In the animal kingdom heightened senses are frequently the difference between life and death. Generally human brains cannot handle the sudden increase in stimulus that well.,"Grants +20 to perception tests using one particular sense. The user suffers -10 to tests resisting overstimulation (like blinding, deafening or pain).",one tagged senses,"1 RI, 1 MT",180,"Cheap, Wrongly fitted, Perfect fit, Inconspicuous"
Metabolism Booster,Biotech,Efficiently closing wounds always was import to humans. This rare implant can enhance natural healing but is quite inefficient and requires a lot of additional chemical energy.,"Once per day, if the character is not already malnourished or starving, the character may take 15 minutes of rest to gain natural healing and restore 2D5 exhaustion. The user will become extremely hungry afterwards and take a -20 penalty to most actions until he gets a meal.",all inner organs,3 MT,380,"Wrongly fitted, Perfect fit"
Mucus Gland,Biotech,"An engineered gland producing thick mucus. While it stinks, it is very resistant.","The character gains 3 temporary HP on every zone, which don't contribute to degradation when lost. When they are lost, it takes a minute for them to regenerate. The user suffers the effects of Bane: Terrible Odor and Bane: Ugly.",skin,2 MT,230,"Wrongly fitted, Perfect fit"
Oxygen Tanks,Biotech,Additional organs that save oxygen and reduce the feeling of exhaustion.,The user's exhaustion threshold is doubled.,lungs,1 MT,180,"Wrongly fitted, Perfect fit"
Pheromone Glands,Biotech,"Airborne pheromones as a means of communication are a staple in the animal kingdom. While humans can't quite use it to communicate, this augment allows subtle manipulation during swaying attempts.","Grants +20 to all friendly social tests - the bonus is +40 instead in enclosed rooms without airflow. If either the target or the user wears vac-sealed armor, the augment has no effect.",skin,3 MT,240,"Wrongly fitted, Perfect fit, Inconspicuous, Aesthetic"
Radiation Proofing,Biotech,An under-skin mesh that blocks many forms of harmful radiation.,Grants +40 to tests to resist radiation poisoning and +30 to tests against getting shocked. The user's augments are immune to EMP.,skin,2 MT,160,"Wrongly fitted, Perfect fit, Inconspicuous, Aesthetic"
Reprocessor Stomach,Cybernetic,A recycler squeezing the last nutrients from food waste. One of the only cybernetics straining medical toughness.,The speed of starvation is reduced to a quarter.,-,1 MT,220,"Cheap, Wrongly fitted, Perfect fit"
Shadow Runners,Biotech,"Very springy leg replacements, making it much easier to walk silently.","Sound-related penalties on sneaking tests are halved, at least reduced by 10.",both legs,3 MT,380,"Wrongly fitted, Perfect fit, Tough, Powerful, Inconspicuous"
Shielded Nerves,Biotech,"An enhancement to the user's nervous system designed to bear larger loads. While it replaces a large part of the nervous system, it is compatible with any other augment.",Increases RI by 1. May be implanted up to 3 times.,-,1 MT,150,"Wrongly fitted, Perfect fit"
Tenadermis,Biotech,"An engineered gland that creates a thick, tough layer just below the skin.","Grants +15 natural armor. It removes all sense of touch, effectively granting the effects of \emph{Bane: No tactile sense}. Penalties from additional worn armor are doubled. ",skin,3 MT,280,"Wrongly fitted, Perfect fit, Inconspicuous, Aesthetic"
Toxin Filters,Biotech,A very large group of various replacements that remove toxic substances from all parts of the body.,The user becomes immune to almost all toxins. This includes the detriments of any chems.,all inner organs,5 MT,220,"Wrongly fitted, Perfect fit, Tough, Inconspicuous"
Vat-grown Body Part,Biotech,"A biological body part grown in a vat, usually grown from the patient's own DNA. Just as good as the original.",A lost or broken body part is restored back to normal. \\% It is possible to grow an exact clone. This takes very long (\sim 4 months) but does not use any MT.,one tagged extremity,1 MT,50,"Cheap, Wrongly fitted, Perfect fit, Powerful, Tough, Integrated Weaponry"
Wound Sealant Foam Gland,Biotech,An engineered gland that releases blood clotting foam when injured to prevent large amounts of blood loss.,"All bleeding is stopped the moment it begins. Chems last twice as long. These effects, as well as half the implant’s load, are inhibited by most common anesthetics.",skin,4 MT,220,"Wrongly fitted, Perfect fit"
